,City,Temperature(F),Humidity(%),Cloudiness(%),Wind Speed(mph),Latitude,Longitude
91,puerto ayora,78.71,86,55,7.9,-0.74,-90.35
92,mugango,84.2,48,20,6.93,-1.69,33.7
93,zhigansk,23.63,82,35,10.85,66.77,123.37
94,kutum,85.73,10,25,12.75,14.2,24.66
95,klaksvik,50,81,100,14.99,62.23,-6.59
96,saint-joseph,63.93,42,0,6.93,43.56,6.97
97,taltal,59.63,82,0,0.36,-25.41,-70.49
98,cidreira,67.91,84,20,4.79,-30.17,-50.22
99,port blair,91.4,63,40,9.17,11.67,92.75
100,los llanos de aridane,62.73,63,20,16.11,28.66,-17.92
101,non thai,95.97,44,40,13.87,15.2,102.07
102,flinders,67.23,100,90,8.05,-34.58,150.85
103,tuktoyaktuk,13.37,94,90,9.84,69.44,-133.03
104,nuuk,19.4,57,28,14.99,64.17,-51.74
105,east london,69.8,88,75,16.11,-33.02,27.91
106,sulangan,87.35,64,31,6.06,11.14,123.72
107,grimshaw,36.93,58,75,6.93,56.19,-117.61
108,ancud,37.4,100,20,5.82,-41.87,-73.83
109,itarema,74.57,95,100,3.31,-2.92,-39.92
110,tasiilaq,35.6,80,98,25.28,65.61,-37.64
111,cape town,69.01,56,0,6.93,-33.93,18.42
112,port alfred,63,93,94,5.01,-33.59,26.89
113,new norfolk,49.89,58,75,12.75,-42.78,147.06
114,kieta,82.13,75,100,6.22,-6.22,155.63
115,kudahuvadhoo,85.73,67,96,6.98,2.67,72.89
116,mys shmidta,,,,,,
117,victoria,88.79,66,75,6.93,5.28,115.24
118,aykhal,26.6,49,90,8.95,65.95,111.51
119,chambersburg,50.68,87,90,2.64,39.94,-77.66
120,hamilton,66.2,72,75,4.7,32.3,-64.78
121,fort nelson,37.4,69,75,2.24,58.81,-122.69
122,nguiu,,,,,,
123,kodiak,48.06,72,90,17.22,39.95,-94.76
124,dawei,86.99,70,27,12.66,14.07,98.19
125,dingle,92.21,36,33,10.27,11,122.67
126,saint combs,,,,,,
127,saskylakh,1.31,88,50,5.59,71.97,114.09
128,vallenar,57.29,94,0,1.99,-28.58,-70.76
129,zambezi,78.17,71,85,2.82,-13.55,23.12
130,yellowknife,30.09,92,75,6.93,62.45,-114.38
131,tahe,31.91,30,7,14.34,52.34,124.71
132,lorengau,78.17,85,100,2.93,-2.02,147.27
133,nikolskoye,48.16,37,0,8.95,59.7,30.79
134,saint-philippe,39.69,55,1,5.82,45.36,-73.48
135,la libertad,53.6,54,0,2.24,-16.38,-71.56
136,louisbourg,,,,,,
137,nome,73.06,88,90,8.05,30.04,-94.42
138,acapulco,75.2,88,5,2.24,16.86,-99.88
139,qasigiannguit,8.6,65,71,10.29,68.82,-51.19
140,norman wells,23,79,5,8.05,65.28,-126.83
141,olafsvik,,,,,,
142,gazojak,83.93,26,100,12.39,41.19,61.4
143,vaitupu,,,,,,
144,nantucket,37.4,92,1,3.36,41.28,-70.1
145,samusu,,,,,,
146,ovalle,58.55,90,52,1.01,-30.6,-71.2
147,wukari,95.09,41,100,4.38,7.87,9.78
148,timra,57.29,31,0,6.93,62.49,17.33
149,vysokogornyy,47.21,63,98,5.35,50.1,139.13
150,lebu,70.79,51,55,5.88,8.96,38.73
151,mar del plata,49.55,53,71,25.23,-46.43,-67.52
152,waddan,74.75,27,0,8.41,29.16,16.14
153,hailun,45.95,23,0,17.85,47.46,126.97
154,vieux fort,75.72,78,75,16.11,13.72,-60.95
155,grand gaube,84.67,62,40,14.99,-20.01,57.66
156,dingli,64.47,63,20,9.17,35.86,14.38
157,san quintin,88.07,58,25,6.46,17.54,120.52
158,souillac,61.72,59,0,9.17,45.6,-0.6
159,gillette,38.01,80,90,14.99,44.29,-105.5
160,eureka,49.62,93,90,13.8,40.8,-124.16
161,neuquen,46.4,93,0,2.24,-38.95,-68.06
162,ribeira grande,60.8,93,75,9.17,38.52,-28.7
163,zeya,26.33,53,95,15.46,53.74,127.27
164,tabiauea,,,,,,
165,tsihombe,,,,,,
166,port elizabeth,54.14,87,90,8.05,39.31,-74.98
167,vila franca do campo,60.8,93,75,5.82,37.72,-25.43
168,hithadhoo,83.39,75,88,12.86,-0.6,73.08
169,bluff,79.07,42,67,11.79,-23.58,149.07
170,urengoy,9.05,86,0,10.71,65.96,78.37
171,illoqqortoormiut,,,,,,
172,umzimvubu,,,,,,
173,batticaloa,90.05,54,100,7.7,7.71,81.69
174,manokwari,74.21,90,100,5.57,-0.87,134.08
175,bambous virieux,84.38,62,40,14.99,-20.34,57.76
176,porto seguro,75.2,94,20,6.93,-16.44,-39.06
177,shahr-e kord,55.4,54,75,11.41,32.33,50.85
178,orotukan,24.17,75,70,8.63,62.26,151.67
179,warqla,,,,,,
180,sao jose da coroa grande,72.59,94,100,4.03,-8.9,-35.15
181,sitka,50.81,61,100,13.56,37.17,-99.65
182,makakilo city,72.3,76,90,6.93,21.35,-158.09
183,ilulissat,8.6,65,98,10.29,69.22,-51.1
184,lolua,,,,,,
185,palabuhanratu,,,,,,
186,provideniya,6.35,85,1,13.29,64.42,-173.23
187,kishi,89.69,52,72,4.9,9.08,3.85
188,bay roberts,29.97,80,90,23.04,47.58,-53.28
189,kavieng,82.31,77,100,6.76,-2.57,150.8
190,broken hill,73.4,31,17,6.93,-31.97,141.45
191,tumannyy,,,,,,
192,arman,21.65,94,96,3.11,59.7,150.17
193,beringovskiy,5.27,89,1,4.97,63.05,179.32
194,prainha,74.03,96,98,2.86,-1.8,-53.48
195,aksu,28.4,42,20,20.13,52.04,76.93
196,mora,58.48,97,79,4.34,38.94,-8.17
197,redlands,52.65,62,1,1.63,34.06,-117.19
198,grand-santi,70.97,99,88,1.57,4.27,-54.38
199,bathsheba,73.4,88,75,19.46,13.22,-59.52
200,san rafael,59.63,69,100,2.06,-34.61,-68.33
201,oloron-sainte-marie,60.6,82,0,4.7,43.19,-0.61
202,sedelnikovo,,,,,,
203,vao,54.41,55,52,4.45,59.1,26.19
204,diapaga,99.23,14,63,7.99,12.07,1.79
205,kamenskoye,,,,,,
206,northam,57.87,67,0,12.75,51.04,-4.21
207,kokopo,72.59,96,100,0.76,-4.34,152.27
208,xai-xai,83.93,57,11,4.29,-25.04,33.64
209,chojnice,65.97,29,0,14,53.7,17.57
210,mehamn,35.69,91,89,9.69,71.03,27.85
211,cangas,58.08,82,0,6.93,42.26,-8.78
212,comodoro rivadavia,53.6,50,0,14.99,-45.87,-67.48
213,ozgon,,,,,,
214,margate,49.91,58,75,12.75,-43.03,147.26
215,haines junction,29.75,83,70,5.03,60.75,-137.51
216,xinqing,33.53,42,31,14.03,48.28,129.53
217,soe,59.04,42,0,5.82,57.91,26.05
218,tawkar,,,,,,
219,lavrentiya,5.99,96,94,13.35,65.58,-170.99
220,marzuq,89.69,20,0,3.47,14.4,46.47
221,leningradskiy,2.57,82,0,9.24,69.38,178.42
222,wasilla,33.13,91,90,3.74,61.58,-149.44
223,taburao,,,,,,
224,korla,,,,,,
225,saldanha,52.07,78,4,3.42,41.42,-6.55
226,la ronge,35.6,93,40,4.7,55.1,-105.3
227,santa luzia,64.4,93,90,1.12,-19.77,-43.85
228,kaura namoda,94.19,5,31,12.55,12.59,6.58
229,fortuna,62.69,59,75,5.82,38.18,-1.13
230,labuhan,89.87,58,90,2.64,-2.54,115.51
231,ponta do sol,62.69,99,59,1.41,-20.63,-46
232,zaysan,47.75,58,74,18.32,47.47,84.87
233,eenhana,87.8,38,0,4.7,-17.48,16.34
234,arlit,89.87,6,0,8.01,18.74,7.39
235,usinsk,33.89,100,100,13.06,66,57.56
236,kolyvan,19.4,79,75,26.84,55.31,82.74
237,atambua,86.81,70,0,2.64,-9.11,124.89
238,laguna,67.37,51,0,11.21,27.52,-110.01
239,marcona,,,,,,
240,mozarlandia,72.05,84,99,2.3,-14.74,-50.57
241,meulaboh,86.27,68,84,9.19,4.14,96.13
242,attawapiskat,,,,,,
243,kantunilkin,78.42,78,5,12.75,21.1,-87.49
244,srednekolymsk,31.73,77,85,15.26,67.46,153.71
245,pasighat,72.59,82,28,3.22,28.06,95.33
246,talaya,15.8,66,40,20.13,55.79,84.89
247,mahebourg,84.33,62,40,14.99,-20.41,57.7
248,amapa,75,87,51,2.3,15.09,-87.97
249,elwood,40.03,86,1,3.36,40.59,-99.86
250,chuy,63.59,85,24,7.49,-33.69,-53.46
251,teya,76.51,83,5,6.93,21.05,-89.07
252,bud,52.88,57,0,6.93,62.91,6.91
253,mrirt,,,,,,
254,aasiaat,8.33,82,93,9.01,68.71,-52.87
255,esperance,75.76,83,40,3.36,10.24,-61.45
256,cabo san lucas,60.3,80,0,3,22.89,-109.91
257,narsaq,30.2,63,59,5.75,60.91,-46.05
258,kapoeta,,,,,,
259,yarada,93.2,56,0,11.41,17.65,83.27
260,wanning,61.7,39,0,19.46,48.64,13.53
261,belaya gora,16.07,92,100,22.17,68.54,146.19
262,maceio,73.4,94,0,3.36,-9.67,-35.74
263,barbar,,,,,,
264,sao paulo de olivenca,73.13,97,100,0.94,-3.38,-68.87
265,hovd,51.71,34,0,4.7,63.83,10.7
266,bubaque,80.15,55,31,11.05,11.28,-15.83
267,sorong,79.97,84,100,2.53,-0.86,131.25
268,marawi,82.99,79,88,3.91,8,124.29
269,kavaratti,85.19,76,100,13.2,10.57,72.64
270,podlesnoye,38.93,28,0,3.71,54.32,47.61
271,katsuura,65.48,68,20,14.99,33.93,134.5
272,lompoc,51.03,87,1,7.18,34.64,-120.46
273,champerico,68.09,79,0,4.88,16.38,-93.6
274,hervey bay,71.44,73,0,5.82,-25.3,152.85
275,naantali,58.51,33,0,5.82,60.45,22.03
276,hobyo,89.87,52,41,13.18,5.35,48.53
277,oksfjord,39.13,58,3,18.34,70.24,22.35
278,baykit,31.73,89,100,11.27,61.68,96.39
279,miram shah,70.43,40,0,7.63,33.01,70.07
280,port augusta,71.46,68,67,9.17,-32.49,137.76
281,richards bay,77.45,73,1,16.71,-28.77,32.06
282,dwarka,87.04,35,40,5.82,28.58,77.04
283,juneau,42.87,81,90,24.16,58.3,-134.42
284,sao joao da barra,73.4,94,75,3.71,-21.64,-41.05
285,tokur,22.55,92,100,15.88,53.13,132.9
286,vila velha,77.34,88,40,3.36,-3.71,-38.6
287,hambantota,91.4,66,40,8.05,6.12,81.12
288,tabanan,86,74,20,13.87,-8.54,115.13
289,sumenep,84.11,81,66,10.67,-7.02,113.87
290,ust-kuyga,5.81,79,32,1.74,70,135.55
291,castro,37.4,100,20,5.82,-42.48,-73.76
292,petropavlivka,49.01,38,0,12.95,48.46,36.42
293,lensk,34.97,47,68,9.01,60.71,114.91
294,jijiga,74.03,51,18,4.72,9.35,42.8
295,sao filipe,71.33,86,42,22.12,14.9,-24.5
296,yenagoa,87.17,70,92,4.18,4.92,6.26
297,rocha,53.87,92,29,5.48,-34.48,-54.34
298,carbondale,50.05,71,20,17.22,38.82,-95.69
299,luderitz,68,49,17,3.36,-26.65,15.16
300,tianpeng,84.83,62,3,12.82,28.88,112.34
301,pandan niog,84.65,69,11,6.87,6.23,120.56
302,palmer,66.42,24,0,10.29,-34.85,139.16
303,camacha,62.64,63,40,16.11,33.08,-16.33
304,rio verde de mato grosso,72.59,81,0,3.89,-18.92,-54.84
305,fort-shevchenko,41.27,85,99,29.37,44.51,50.26
306,ukiah,49.87,81,1,2.82,39.15,-123.21
307,cayenne,78.8,88,20,3.36,4.94,-52.33
308,yakovlevka,43.43,41,93,15.82,44.43,133.47
309,otavi,82.31,40,0,10.85,-19.64,17.34
310,barentsburg,,,,,,
311,rio grande,57.65,97,0,3.67,-32.03,-52.1
312,urumqi,,,,,,
313,okakarara,79.43,20,0,8.95,-20.59,17.46
314,lixourion,63.28,67,20,6.93,38.2,20.43
315,pisco,66.09,93,0,14.12,-13.71,-76.2
316,hay river,24.8,92,20,4.7,60.82,-115.79
317,sentyabrskiy,,,,,,
318,talnakh,-2.21,84,20,17.9,69.49,88.39
319,honningsvag,40.19,63,88,11.16,70.98,25.97
320,kilrush,56.37,81,20,18.34,51.96,-8.06
321,shasta lake,48.45,87,1,3.36,40.68,-122.36
322,calama,44.6,14,0,14.99,-22.46,-68.93
323,muros,57.45,81,20,4.7,42.77,-9.06
324,mae hong son,102.2,24,40,5.82,19.3,97.96
325,dunedin,52,77,1,8.99,-45.87,170.5
326,brawley,64.94,37,1,6.53,32.98,-115.53
327,linxia,76.55,16,1,12.73,35.6,103.21
328,esso,27.95,88,99,1.1,55.93,158.7
329,pangnirtung,-7.16,63,0,4.12,66.15,-65.72
330,dongsheng,86.63,54,2,15.05,29.72,112.52
331,fukue,62.4,67,0,9.17,35.03,136.69
332,coahuayana,76.73,34,0,2.98,18.62,-100.35
333,kamenka,41.81,25,91,4.36,53.19,44.05
334,solwezi,77.09,59,66,7.16,-12.18,26.4
335,brae,52.36,62,0,21.92,60.4,-1.35
336,russell,55.4,93,0,2.24,-33.01,-68.8
337,taunggyi,95.27,19,38,8.48,20.78,97.03
338,ahipara,64.49,73,89,14.79,-35.17,173.16
339,doha,94.5,20,0,13.87,25.29,51.53
340,leh,28.13,50,90,2.91,34.16,77.58
341,guerrero negro,61.07,83,68,12.3,27.97,-114.04
342,burica,,,,,,
343,glubokoe,,,,,,
344,westport,54.5,87,75,11.41,53.8,-9.52
345,sohbatpur,90.77,24,0,0.51,28.52,68.54
346,kaduy,44.6,56,75,4.47,59.2,37.15
347,sechura,70.07,86,23,9.08,-5.56,-80.82
348,aragarcas,72.05,83,96,0.96,-15.9,-52.25
349,nshamba,78.8,69,20,5.41,-1.8,31.55
350,krasnoselkup,,,,,,
351,urucara,72.77,98,58,1.43,-2.54,-57.76
352,tarhunah,,,,,,
353,pestovo,53.15,25,0,4.47,55.36,37.98
354,acajutla,83.39,72,15,6.69,13.59,-89.83
355,bridlington,56.61,76,26,11.41,54.08,-0.19
356,faya,79.74,36,20,11.41,18.39,42.45
357,lasa,64.83,59,75,10.29,34.92,32.53
358,taitung,75.2,94,75,3.36,22.76,121.15
359,maghama,,,,,,
360,basco,49.93,100,75,12.75,40.33,-91.2
361,puquio,45.05,82,100,6.04,-14.69,-74.12
362,goulburn,57.99,78,11,1.01,-34.75,149.72
363,makrana,87.17,24,0,10.29,27.04,74.73
364,jambi,91.49,57,93,2.95,-1.6,103.62
365,daltenganj,96.35,20,41,5.41,24.03,84.07
366,semme,63.9,42,0,8.05,46.2,1.5
367,umm lajj,74.39,66,0,18.03,25.02,37.27
368,winneba,86,74,20,12.75,5.35,-0.62
369,torbay,29.97,86,90,24.16,47.66,-52.73
370,bukachacha,37.49,16,0,5.37,52.99,116.91
371,atchison,49.39,76,1,17.22,39.56,-95.12
372,codrington,68.04,88,40,3.31,-28.95,153.24
373,waingapu,81.59,74,19,10.6,-9.65,120.26
374,abu kamal,68.09,41,0,7.45,34.45,40.92
375,touros,82.85,77,37,9.28,-5.2,-35.46
376,tiznit,62.69,79,87,21.03,29.7,-9.73
377,lagoa,61.16,82,20,5.82,37.14,-8.45
378,gushikawa,73.71,60,75,3.36,26.35,127.87
379,little current,43.79,100,90,13.87,45.98,-81.93
380,grindavik,44.6,93,75,14.99,63.84,-22.43
381,swellendam,68,64,40,17.22,-34.02,20.44
382,clyde river,-22.01,74,1,2.24,70.47,-68.59
383,nelson bay,68.56,88,0,4.7,-32.72,152.14
384,kyabe,101.57,20,87,7.31,9.45,18.94
385,petropavlovsk-kamchatskiy,33.8,74,20,4.47,53.05,158.65
386,jingdezhen,80.33,54,100,3.69,29.29,117.2
387,manyana,64.71,100,90,8.05,-35.26,150.51
388,konevo,59,49,77,3,41.67,25.61
389,kronshagen,56.39,54,0,17.22,54.33,10.08
390,kununurra,93.2,38,40,3.36,-15.77,128.74
391,coatlan,,,,,,
392,qandala,86.81,65,22,11.23,11.47,49.87
393,carhuamayo,34.25,84,93,6.38,-10.92,-76.06
394,cherskiy,25.97,80,75,13.13,68.75,161.3
395,oussouye,74.32,73,0,6.93,12.49,-16.54
396,cameta,66.6,88,90,8.05,33.01,-90.84
397,blackwater,59.79,76,100,8.05,51.33,-0.78
398,conde,72.23,98,0,1.99,-11.81,-37.61
399,kasongo-lunda,82.13,64,92,4.61,-6.48,16.82
400,bilibino,12.11,71,48,6.2,68.06,166.44
401,krasnogvardeyskoye,45.95,48,100,14.83,45.84,41.51
402,ballitoville,73.78,78,75,12.75,-29.54,31.21
403,terrak,51.3,40,0,12.75,65.09,12.37
404,patrocinio,86.99,68,5,10.98,13.72,123.64
405,artyk,,,,,,
406,rosetta,61.79,71,0,11.41,31.4,30.42
407,danielskuil,76.01,26,9,10.98,-28.19,23.54
408,rabo de peixe,60.8,93,75,5.82,37.8,-25.58
409,fuyu,51.17,18,67,12.64,47.79,124.46
410,beyneu,43.07,73,100,29.15,45.32,55.19
411,ohara,64.58,55,20,13.87,35.12,135.83
412,saint-augustin,60.46,72,0,14.99,44.83,-0.61
413,morondava,85.73,68,33,8.48,-20.3,44.28
414,negombo,89.6,66,20,7.92,7.21,79.83
415,los banos,52.83,87,1,2.35,37.06,-120.85
416,nombre de dios,51.17,46,0,6.58,23.85,-104.24
417,sambava,86.45,59,16,6.13,-14.27,50.17
418,grand river south east,,,,,,
419,ust-kamchatsk,,,,,,
420,angoche,86.81,63,27,8.7,-16.23,39.91
421,horqueta,67.01,74,30,3.65,-23.34,-57.05
422,lae,76.55,66,100,2.1,-6.72,146.98
423,tautira,80.29,78,20,3.36,-17.73,-149.15
424,neiafu,82.13,83,100,24.52,-18.65,-173.98
425,moctezuma,55.67,51,0,6.22,29.81,-109.68
426,half moon bay,50.85,81,1,3.36,37.46,-122.43
427,phan rang,,,,,,
428,nuevo progreso,75.31,83,75,18.34,26.05,-97.95
429,quatre cocos,84.49,62,40,14.99,-20.21,57.76
430,monte san pietro,65.35,55,0,9.17,44.44,11.14
431,ihosy,76.91,68,14,8.99,-22.4,46.13
432,mogadishu,87.8,66,40,9.17,2.04,45.34
433,high level,28.4,86,1,4.5,58.52,-117.13
434,deputatskiy,4.37,89,96,7.43,69.3,139.9
435,ambon,61.21,55,0,9.17,47.55,-2.56
436,atlantic city,,,,,,
437,inderborskiy,,,,,,
438,malartic,40.14,48,90,11.41,48.14,-78.13
439,mullaitivu,,,,,,
440,necochea,55.99,84,87,3.56,-38.55,-58.74
441,katiola,83.93,71,76,5.59,8.14,-5.1
442,gizo,67.77,49,40,12.75,31.8,34.94
443,strezhevoy,19.4,44,0,11.18,60.73,77.6
444,huarmey,67.55,94,100,13.38,-10.07,-78.15
445,mizdah,69.35,34,0,10.07,31.45,12.98
446,sangar,24.89,70,0,9.01,63.92,127.47
447,mount isa,80.6,30,0,6.93,-20.73,139.49
448,karaul,,,,,,
449,alotau,,,,,,
450,huanren,46.31,26,0,11.12,41.26,125.37
451,penzance,54.5,87,100,28.86,50.12,-5.53
452,ucluelet,47.93,98,100,1.99,48.94,-125.55
453,port hardy,46.4,93,90,3.36,50.7,-127.42
454,senno,55.4,53,83,11.18,57.76,27.95
455,ormara,93.83,22,0,11.01,25.21,64.64
456,privolzhye,40.91,24,23,7.85,52.86,48.6
457,dailly,52,76,20,9.17,55.28,-4.72
458,sainte-anne-des-monts,35.33,83,32,10.42,49.13,-66.49
459,port lavaca,62.58,93,90,12.75,28.61,-96.63
460,gat,68,82,0,27.51,14.69,-16.54
461,nanortalik,31.01,76,56,4.34,60.14,-45.24
462,hofn,44.6,93,75,9.17,64.25,-15.21
463,kolokani,95.45,6,0,3.58,13.58,-8.03
464,rock sound,77.99,82,37,17.34,24.9,-76.2
465,bijie,73.67,60,76,8.97,27.3,105.3
466,santa cruz del sur,73.13,88,18,7.36,20.71,-78
467,tianjin,55.4,35,0,17.9,39.12,117.2
468,cochrane,41.45,75,86,8.48,-47.25,-72.57
469,ornskoldsvik,56.05,24,0,12.75,63.29,18.72
470,bafq,74.93,19,100,24.67,31.6,55.4
471,orchard homes,36.39,96,1,6.93,46.86,-114.05
472,matagami,91.85,9,81,5.1,9.67,8.4
473,aguilas,58.57,59,75,5.82,37.41,-1.58
474,henties bay,55,94,0,1.99,-22.12,14.28
475,piterka,43.79,26,0,10.31,50.68,47.44
476,salta,62.82,93,40,3.36,-24.79,-65.41
477,zhezkazgan,32,28,90,24.61,47.8,67.71
478,cukai,90.57,66,75,8.05,4.25,103.42
479,mugur-aksy,30.83,68,86,41.63,50.38,90.44
480,noumea,73.4,88,90,2.24,-22.28,166.46
481,shrewsbury,54.79,81,20,6.93,52.71,-2.75
482,general roca,46.4,93,0,2.24,-39.03,-67.58
483,hermosillo,60.33,52,20,4.7,29.09,-110.96
484,litoral del san juan,,,,,,
485,soyo,86,70,20,8.05,-6.13,12.37
486,zlatoustovsk,,,,,,
487,ishinomaki,53.6,81,75,10.29,38.42,141.3
488,gannan,49.55,13,0,16.8,47.92,123.49
489,hwange,82.85,46,34,9.66,-18.35,26.5
490,kawana waters,,,,,,
491,peleduy,34.97,63,86,9.8,59.63,112.75
492,salalah,86,45,0,12.75,17.01,54.1
493,caravelas,76.73,86,72,6.82,-17.73,-39.27
494,calvia,66.27,63,0,18.34,39.57,2.51
495,van buren,22.41,79,1,1.61,47.16,-67.94
496,port said,76.73,25,0,8.16,25.34,30.55
497,rognan,48.2,42,0,12.75,67.1,15.4
498,avila,53.82,87,75,4.7,38.91,-76.61
499,te anau,44.87,97,10,3.6,-45.41,167.72
500,marystown,34,100,0,10.74,47.17,-55.16
501,handia,93.2,34,20,8.05,25.36,82.19
502,karratha,93.83,28,0,15.75,-20.74,116.85
503,ternate,86.68,84,75,11.41,14.29,120.72
504,ladario,56.48,78,96,1.01,40.7,-7.74
505,tornio,55.72,30,0,5.82,61.12,27.27
506,sharjah,94.96,21,0,13.87,25.36,55.39
507,tiksi,9.41,87,33,4.09,71.64,128.87
508,ngukurr,,,,,,
509,mumford,87.17,62,91,5.37,5.26,-0.76
510,berlevag,38.39,83,82,13.78,70.86,29.09
511,sao felix do xingu,69.71,98,96,2.04,-6.64,-51.99
512,geraldton,39.2,93,90,8.05,49.72,-86.95
513,vestmannaeyjar,44.6,93,90,17.22,63.44,-20.27
514,yulara,89.6,14,0,13.87,-25.24,130.99
515,saint-francois,66.27,37,0,13.87,46.42,3.91
516,kuche,,,,,,
517,stadtallendorf,62.33,39,20,13.87,50.83,9.02
518,moron,73.49,88,88,1.63,10.49,-68.2
519,nabire,72.23,99,100,2.26,-3.36,135.5
520,smolenka,60.17,48,4,5.86,54.15,22.76
521,patti,63.99,63,40,9.17,38.14,14.96
522,nizhneyansk,,,,,,
523,vavuniya,97.07,38,100,3.24,8.76,80.5
524,maraba,77,100,40,3.36,-5.35,-49.1
525,batemans bay,58.59,75,100,3,-35.71,150.18
526,killybegs,56.05,76,91,6.93,54.63,-8.45
527,smithers,39.2,80,75,9.17,54.78,-127.17
528,kuldiga,55.4,42,0,12.75,56.97,21.96
529,kirakira,81.77,76,100,4.16,-10.46,161.92
